ORGANIZACIONES POLÍTICAS,TOTAL,%VÁLIDOS,%EMITIDOS,DEPARTAMENTO,PROVINCIA,DISTRITO
RENACIMIENTO UNIDO NACIONAL,8,1.075%,0.837%,AMAZONAS,BAGUA,EL PARCO
PARTIDO DEMOCRATICO SOMOS PERU,7,0.941%,0.732%,AMAZONAS,BAGUA,EL PARCO
PARTIDO POLITICO NACIONAL PERU LIBRE,214,28.763%,22.385%,AMAZONAS,BAGUA,EL PARCO
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BAGUA,EL PARCO
ALIANZA PARA EL PROGRESO,47,6.317%,4.916%,AMAZONAS,BAGUA,EL PARCO
PARTIDO NACIONALISTA PERUANO,1027,13.730%,9.396%,AMAZONAS,BAGUA,IMAZA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",30,0.401%,0.274%,AMAZONAS,BAGUA,IMAZA
PARTIDO MORADO,157,2.099%,1.436%,AMAZONAS,BAGUA,IMAZA
PERU PATRIA SEGURA,8,0.107%,0.073%,AMAZONAS,BAGUA,IMAZA
VICTORIA NACIONAL,107,1.430%,0.979%,AMAZONAS,BAGUA,IMAZA
ACCION POPULAR,208,2.781%,1.903%,AMAZONAS,BAGUA,IMAZA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,68,0.909%,0.622%,AMAZONAS,BAGUA,IMAZA
PODEMOS PERU,1723,23.035%,15.764%,AMAZONAS,BAGUA,IMAZA
JUNTOS POR EL PERU,325,4.345%,2.973%,AMAZONAS,BAGUA,IMAZA
PARTIDO POPULAR CRISTIANO - PPC,11,0.147%,0.101%,AMAZONAS,BAGUA,IMAZA
FUERZA POPULAR,338,4.519%,3.092%,AMAZONAS,BAGUA,IMAZA
UNION POR EL PERU,408,5.455%,3.733%,AMAZONAS,BAGUA,IMAZA
RENOVACION POPULAR,252,3.369%,2.306%,AMAZONAS,BAGUA,IMAZA
RENACIMIENTO UNIDO NACIONAL,57,0.762%,0.522%,AMAZONAS,BAGUA,IMAZA
PARTIDO DEMOCRATICO SOMOS PERU,28,0.374%,0.256%,AMAZONAS,BAGUA,IMAZA
PARTIDO POLITICO NACIONAL PERU LIBRE,2365,31.618%,21.638%,AMAZONAS,BAGUA,IMAZA
DEMOCRACIA DIRECTA,9,0.120%,0.082%,AMAZONAS,BAGUA,IMAZA
ALIANZA PARA EL PROGRESO,359,4.799%,3.285%,AMAZONAS,BAGUA,IMAZA
PARTIDO NACIONALISTA PERUANO,509,15.961%,11.053%,AMAZONAS,BAGUA,LA PECA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",17,0.533%,0.369%,AMAZONAS,BAGUA,LA PECA
PARTIDO MORADO,23,0.721%,0.499%,AMAZONAS,BAGUA,LA PECA
PERU PATRIA SEGURA,7,0.220%,0.152%,AMAZONAS,BAGUA,LA PECA
VICTORIA NACIONAL,174,5.456%,3.779%,AMAZONAS,BAGUA,LA PECA
ACCION POPULAR,319,10.003%,6.927%,AMAZONAS,BAGUA,LA PECA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,66,2.070%,1.433%,AMAZONAS,BAGUA,LA PECA
PODEMOS PERU,65,2.038%,1.412%,AMAZONAS,BAGUA,LA PECA
JUNTOS POR EL PERU,150,4.704%,3.257%,AMAZONAS,BAGUA,LA PECA
PARTIDO POPULAR CRISTIANO - PPC,14,0.439%,0.304%,AMAZONAS,BAGUA,LA PECA
FUERZA POPULAR,518,16.243%,11.249%,AMAZONAS,BAGUA,LA PECA
UNION POR EL PERU,99,3.104%,2.150%,AMAZONAS,BAGUA,LA PECA
RENOVACION POPULAR,217,6.805%,4.712%,AMAZONAS,BAGUA,LA PECA
RENACIMIENTO UNIDO NACIONAL,14,0.439%,0.304%,AMAZONAS,BAGUA,LA PECA
PARTIDO DEMOCRATICO SOMOS PERU,30,0.941%,0.651%,AMAZONAS,BAGUA,LA PECA
PARTIDO POLITICO NACIONAL PERU LIBRE,700,21.950%,15.201%,AMAZONAS,BAGUA,LA PECA
DEMOCRACIA DIRECTA,7,0.220%,0.152%,AMAZONAS,BAGUA,LA PECA
ALIANZA PARA EL PROGRESO,260,8.153%,5.646%,AMAZONAS,BAGUA,LA PECA
PARTIDO NACIONALISTA PERUANO,8,3.704%,2.730%,AMAZONAS,BONGARA,CHISQUILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",6,2.778%,2.048%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO MORADO,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
PERU PATRIA SEGURA,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
VICTORIA NACIONAL,5,2.315%,1.706%,AMAZONAS,BONGARA,CHISQUILLA
ACCION POPULAR,32,14.815%,10.922%,AMAZONAS,BONGARA,CHISQUILLA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,4.630%,3.413%,AMAZONAS,BONGARA,CHISQUILLA
PODEMOS PERU,3,1.389%,1.024%,AMAZONAS,BONGARA,CHISQUILLA
JUNTOS POR EL PERU,20,9.259%,6.826%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
FUERZA POPULAR,39,18.056%,13.311%,AMAZONAS,BONGARA,CHISQUILLA
UNION POR EL PERU,1,0.463%,0.341%,AMAZONAS,BONGARA,CHISQUILLA
RENOVACION POPULAR,16,7.407%,5.461%,AMAZONAS,BONGARA,CHISQUILLA
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO DEMOCRATICO SOMOS PERU,10,4.630%,3.413%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO POLITICO NACIONAL PERU LIBRE,44,20.370%,15.017%,AMAZONAS,BONGARA,CHISQUILLA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CHISQUILLA
ALIANZA PARA EL PROGRESO,20,9.259%,6.826%,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO NACIONALISTA PERUANO,4,2.312%,1.695%,AMAZONAS,BONGARA,CHURUJA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
PARTIDO MORADO,4,2.312%,1.695%,AMAZONAS,BONGARA,CHURUJA
PERU PATRIA SEGURA,1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
VICTORIA NACIONAL,2,1.156%,0.847%,AMAZONAS,BONGARA,CHURUJA
ACCION POPULAR,30,17.341%,12.712%,AMAZONAS,BONGARA,CHURUJA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,10,5.780%,4.237%,AMAZONAS,BONGARA,CHURUJA
PODEMOS PERU,7,4.046%,2.966%,AMAZONAS,BONGARA,CHURUJA
JUNTOS POR EL PERU,13,7.514%,5.508%,AMAZONAS,BONGARA,CHURUJA
PARTIDO POPULAR CRISTIANO - PPC,1,0.578%,0.424%,AMAZONAS,BONGARA,CHURUJA
FUERZA POPULAR,36,20.809%,15.254%,AMAZONAS,BONGARA,CHURUJA
UNION POR EL PERU,2,1.156%,0.847%,AMAZONAS,BONGARA,CHURUJA
RENOVACION POPULAR,14,8.092%,5.932%,AMAZONAS,BONGARA,CHURUJA
RENACIMIENTO UNIDO NACIONAL,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
PARTIDO DEMOCRATICO SOMOS PERU,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
PARTIDO POLITICO NACIONAL PERU LIBRE,35,20.231%,14.831%,AMAZONAS,BONGARA,CHURUJA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CHURUJA
ALIANZA PARA EL PROGRESO,13,7.514%,5.508%,AMAZONAS,BONGARA,CHURUJA
PARTIDO NACIONALISTA PERUANO,12,3.419%,2.410%,AMAZONAS,BONGARA,COROSHA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
PARTIDO MORADO,3,0.855%,0.602%,AMAZONAS,BONGARA,COROSHA
PERU PATRIA SEGURA,1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
VICTORIA NACIONAL,8,2.279%,1.606%,AMAZONAS,BONGARA,COROSHA
ACCION POPULAR,24,6.838%,4.819%,AMAZONAS,BONGARA,COROSHA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,5,1.425%,1.004%,AMAZONAS,BONGARA,COROSHA
PODEMOS PERU,3,0.855%,0.602%,AMAZONAS,BONGARA,COROSHA
JUNTOS POR EL PERU,27,7.692%,5.422%,AMAZONAS,BONGARA,COROSHA
PARTIDO POPULAR CRISTIANO - PPC,1,0.285%,0.201%,AMAZONAS,BONGARA,COROSHA
FUERZA POPULAR,34,9.687%,6.827%,AMAZONAS,BONGARA,COROSHA
UNION POR EL PERU,4,1.140%,0.803%,AMAZONAS,BONGARA,COROSHA
RENOVACION POPULAR,16,4.558%,3.213%,AMAZONAS,BONGARA,COROSHA
RENACIMIENTO UNIDO NACIONAL,2,0.570%,0.402%,AMAZONAS,BONGARA,COROSHA
PARTIDO DEMOCRATICO SOMOS PERU,12,3.419%,2.410%,AMAZONAS,BONGARA,COROSHA
PARTIDO POLITICO NACIONAL PERU LIBRE,172,49.003%,34.538%,AMAZONAS,BONGARA,COROSHA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,COROSHA
ALIANZA PARA EL PROGRESO,26,7.407%,5.221%,AMAZONAS,BONGARA,COROSHA
PARTIDO NACIONALISTA PERUANO,14,5.091%,3.318%,AMAZONAS,BONGARA,CUISPES
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,0.727%,0.474%,AMAZONAS,BONGARA,CUISPES
PARTIDO MORADO,4,1.455%,0.948%,AMAZONAS,BONGARA,CUISPES
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,BONGARA,CUISPES
VICTORIA NACIONAL,20,7.273%,4.739%,AMAZONAS,BONGARA,CUISPES
ACCION POPULAR,39,14.182%,9.242%,AMAZONAS,BONGARA,CUISPES
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,1.455%,0.948%,AMAZONAS,BONGARA,CUISPES
PODEMOS PERU,10,3.636%,2.370%,AMAZONAS,BONGARA,CUISPES
JUNTOS POR EL PERU,33,12.000%,7.820%,AMAZONAS,BONGARA,CUISPES
PARTIDO POPULAR CRISTIANO - PPC,1,0.364%,0.237%,AMAZONAS,BONGARA,CUISPES
FUERZA POPULAR,19,6.909%,4.502%,AMAZONAS,BONGARA,CUISPES
UNION POR EL PERU,12,4.364%,2.844%,AMAZONAS,BONGARA,CUISPES
RENOVACION POPULAR,20,7.273%,4.739%,AMAZONAS,BONGARA,CUISPES
RENACIMIENTO UNIDO NACIONAL,2,0.727%,0.474%,AMAZONAS,BONGARA,CUISPES
PARTIDO DEMOCRATICO SOMOS PERU,6,2.182%,1.422%,AMAZONAS,BONGARA,CUISPES
PARTIDO POLITICO NACIONAL PERU LIBRE,71,25.818%,16.825%,AMAZONAS,BONGARA,CUISPES
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,CUISPES
ALIANZA PARA EL PROGRESO,18,6.545%,4.265%,AMAZONAS,BONGARA,CUISPES
PARTIDO NACIONALISTA PERUANO,38,1.874%,1.346%,AMAZONAS,BONGARA,FLORIDA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",9,0.444%,0.319%,AMAZONAS,BONGARA,FLORIDA
PARTIDO MORADO,17,0.838%,0.602%,AMAZONAS,BONGARA,FLORIDA
PERU PATRIA SEGURA,2,0.099%,0.071%,AMAZONAS,BONGARA,FLORIDA
VICTORIA NACIONAL,47,2.318%,1.665%,AMAZONAS,BONGARA,FLORIDA
ACCION POPULAR,125,6.164%,4.428%,AMAZONAS,BONGARA,FLORIDA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,69,3.402%,2.444%,AMAZONAS,BONGARA,FLORIDA
PODEMOS PERU,44,2.170%,1.559%,AMAZONAS,BONGARA,FLORIDA
JUNTOS POR EL PERU,89,4.389%,3.153%,AMAZONAS,BONGARA,FLORIDA
PARTIDO POPULAR CRISTIANO - PPC,3,0.148%,0.106%,AMAZONAS,BONGARA,FLORIDA
FUERZA POPULAR,392,19.329%,13.886%,AMAZONAS,BONGARA,FLORIDA
UNION POR EL PERU,11,0.542%,0.390%,AMAZONAS,BONGARA,FLORIDA
RENOVACION POPULAR,105,5.178%,3.719%,AMAZONAS,BONGARA,FLORIDA
RENACIMIENTO UNIDO NACIONAL,10,0.493%,0.354%,AMAZONAS,BONGARA,FLORIDA
PARTIDO DEMOCRATICO SOMOS PERU,12,0.592%,0.425%,AMAZONAS,BONGARA,FLORIDA
PARTIDO POLITICO NACIONAL PERU LIBRE,955,47.091%,33.829%,AMAZONAS,BONGARA,FLORIDA
DEMOCRACIA DIRECTA,2,0.099%,0.071%,AMAZONAS,BONGARA,FLORIDA
ALIANZA PARA EL PROGRESO,98,4.832%,3.471%,AMAZONAS,BONGARA,FLORIDA
PARTIDO NACIONALISTA PERUANO,111,3.828%,2.887%,AMAZONAS,BONGARA,JAZAN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",16,0.552%,0.416%,AMAZONAS,BONGARA,JAZAN
PARTIDO MORADO,54,1.862%,1.404%,AMAZONAS,BONGARA,JAZAN
PERU PATRIA SEGURA,8,0.276%,0.208%,AMAZONAS,BONGARA,JAZAN
VICTORIA NACIONAL,115,3.966%,2.991%,AMAZONAS,BONGARA,JAZAN
ACCION POPULAR,242,8.345%,6.294%,AMAZONAS,BONGARA,JAZAN
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,143,4.931%,3.719%,AMAZONAS,BONGARA,JAZAN
PODEMOS PERU,94,3.241%,2.445%,AMAZONAS,BONGARA,JAZAN
JUNTOS POR EL PERU,278,9.586%,7.230%,AMAZONAS,BONGARA,JAZAN
PARTIDO POPULAR CRISTIANO - PPC,9,0.310%,0.234%,AMAZONAS,BONGARA,JAZAN
FUERZA POPULAR,629,21.690%,16.359%,AMAZONAS,BONGARA,JAZAN
UNION POR EL PERU,49,1.690%,1.274%,AMAZONAS,BONGARA,JAZAN
RENOVACION POPULAR,212,7.310%,5.514%,AMAZONAS,BONGARA,JAZAN
RENACIMIENTO UNIDO NACIONAL,14,0.483%,0.364%,AMAZONAS,BONGARA,JAZAN
PARTIDO DEMOCRATICO SOMOS PERU,30,1.034%,0.780%,AMAZONAS,BONGARA,JAZAN
PARTIDO POLITICO NACIONAL PERU LIBRE,686,23.655%,17.841%,AMAZONAS,BONGARA,JAZAN
DEMOCRACIA DIRECTA,1,0.034%,0.026%,AMAZONAS,BONGARA,JAZAN
ALIANZA PARA EL PROGRESO,209,7.207%,5.436%,AMAZONAS,BONGARA,JAZAN
PARTIDO NACIONALISTA PERUANO,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,1.359%,0.969%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO MORADO,10,2.717%,1.938%,AMAZONAS,BONGARA,JUMBILLA
PERU PATRIA SEGURA,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
VICTORIA NACIONAL,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
ACCION POPULAR,54,14.674%,10.465%,AMAZONAS,BONGARA,JUMBILLA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,16,4.348%,3.101%,AMAZONAS,BONGARA,JUMBILLA
PODEMOS PERU,2,0.543%,0.388%,AMAZONAS,BONGARA,JUMBILLA
JUNTOS POR EL PERU,50,13.587%,9.690%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO POPULAR CRISTIANO - PPC,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
FUERZA POPULAR,47,12.772%,9.109%,AMAZONAS,BONGARA,JUMBILLA
UNION POR EL PERU,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
RENOVACION POPULAR,23,6.250%,4.457%,AMAZONAS,BONGARA,JUMBILLA
RENACIMIENTO UNIDO NACIONAL,2,0.543%,0.388%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO DEMOCRATICO SOMOS PERU,7,1.902%,1.357%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO POLITICO NACIONAL PERU LIBRE,101,27.446%,19.574%,AMAZONAS,BONGARA,JUMBILLA
DEMOCRACIA DIRECTA,1,0.272%,0.194%,AMAZONAS,BONGARA,JUMBILLA
ALIANZA PARA EL PROGRESO,15,4.076%,2.907%,AMAZONAS,BONGARA,JUMBILLA
PARTIDO NACIONALISTA PERUANO,6,4.000%,3.261%,AMAZONAS,BONGARA,RECTA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PARTIDO MORADO,5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PERU PATRIA SEGURA,0,0.000%,0.000%,AMAZONAS,BONGARA,RECTA
VICTORIA NACIONAL,12,8.000%,6.522%,AMAZONAS,BONGARA,RECTA
ACCION POPULAR,24,16.000%,13.043%,AMAZONAS,BONGARA,RECTA
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,5,3.333%,2.717%,AMAZONAS,BONGARA,RECTA
PODEMOS PERU,4,2.667%,2.174%,AMAZONAS,BONGARA,RECTA
JUNTOS POR EL PERU,22,14.667%,11.957%,AMAZONAS,BONGARA,RECTA
PARTIDO POPULAR CRISTIANO - PPC,1,0.667%,0.543%,AMAZONAS,BONGARA,RECTA
FUERZA POPULAR,20,13.333%,10.870%,AMAZONAS,BONGARA,RECTA
UNION POR EL PERU,4,2.667%,2.174%,AMAZONAS,BONGARA,RECTA
RENOVACION POPULAR,7,4.667%,3.804%,AMAZONAS,BONGARA,RECTA
RENACIMIENTO UNIDO NACIONAL,2,1.333%,1.087%,AMAZONAS,BONGARA,RECTA
PARTIDO DEMOCRATICO SOMOS PERU,3,2.000%,1.630%,AMAZONAS,BONGARA,RECTA
PARTIDO POLITICO NACIONAL PERU LIBRE,22,14.667%,11.957%,AMAZONAS,BONGARA,RECTA
DEMOCRACIA DIRECTA,0,0.000%,0.000%,AMAZONAS,BONGARA,RECTA
ALIANZA PARA EL PROGRESO,8,5.333%,4.348%,AMAZONAS,BONGARA,RECTA
PARTIDO NACIONALISTA PERUANO,15,6.383%,4.673%,AMAZONAS,BONGARA,SAN CARLOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",0,0.000%,0.000%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO MORADO,5,2.128%,1.558%,AMAZONAS,BONGARA,SAN CARLOS
PERU PATRIA SEGURA,1,0.426%,0.312%,AMAZONAS,BONGARA,SAN CARLOS
VICTORIA NACIONAL,6,2.553%,1.869%,AMAZONAS,BONGARA,SAN CARLOS
ACCION POPULAR,22,9.362%,6.854%,AMAZONAS,BONGARA,SAN CARLOS
AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,7,2.979%,2.181%,AMAZONAS,BONGARA,SAN CARLOS
PODEMOS PERU,8,3.404%,2.492%,AMAZONAS,BONGARA,SAN CARLOS
JUNTOS POR EL PERU,18,7.660%,5.607%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO POPULAR CRISTIANO - PPC,0,0.000%,0.000%,AMAZONAS,BONGARA,SAN CARLOS
FUERZA POPULAR,27,11.489%,8.411%,AMAZONAS,BONGARA,SAN CARLOS
UNION POR EL PERU,6,2.553%,1.869%,AMAZONAS,BONGARA,SAN CARLOS
RENOVACION POPULAR,19,8.085%,5.919%,AMAZONAS,BONGARA,SAN CARLOS
RENACIMIENTO UNIDO NACIONAL,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO DEMOCRATICO SOMOS PERU,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO POLITICO NACIONAL PERU LIBRE,62,26.383%,19.315%,AMAZONAS,BONGARA,SAN CARLOS
DEMOCRACIA DIRECTA,2,0.851%,0.623%,AMAZONAS,BONGARA,SAN CARLOS
ALIANZA PARA EL PROGRESO,33,14.043%,10.280%,AMAZONAS,BONGARA,SAN CARLOS
PARTIDO NACIONALISTA PERUANO,41,7.093%,4.530%,AMAZONAS,BONGARA,SHIPASBAMBA
